2018-04-12 10:58:20,114 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper 307 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.dct.swocean.SwoceanApplicationTests], using SpringBootContextLoader
2018-04-12 10:58:20,133 [main] INFO  o.s.t.c.s.AbstractContextLoader 264 - Could not detect default resource locations for test class [com.dct.swocean.SwoceanApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-04-12 10:58:20,134 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils 82 - Could not detect default configuration classes for test class [com.dct.swocean.SwoceanApplicationTests]: SwoceanApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-04-12 10:58:20,304 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper 206 - Found @SpringBootConfiguration com.dct.swocean.SwoceanApplication for test class com.dct.swocean.SwoceanApplicationTests
2018-04-12 10:58:20,316 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper 248 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-04-12 10:58:20,339 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper 174 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@243c4f91, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@291ae, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@61df66b6, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@50eac852, org.springframework.test.context.support.DirtiesContextTestExecutionListener@16ec5519, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2f7298b, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@188715b5, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1ea9f6af, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6a192cfe, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5119fb47, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7193666c, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@20deea7f]
2018-04-12 10:58:20,347 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper 307 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.dct.swocean.SwoceanApplicationTests], using SpringBootContextLoader
2018-04-12 10:58:20,348 [main] INFO  o.s.t.c.s.AbstractContextLoader 264 - Could not detect default resource locations for test class [com.dct.swocean.SwoceanApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-04-12 10:58:20,348 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils 82 - Could not detect default configuration classes for test class [com.dct.swocean.SwoceanApplicationTests]: SwoceanApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-04-12 10:58:20,355 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper 206 - Found @SpringBootConfiguration com.dct.swocean.SwoceanApplication for test class com.dct.swocean.SwoceanApplicationTests
2018-04-12 10:58:20,364 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper 248 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
